Rank,Game,Month,Year,Hours_watched,Avg_viewers,Avg_channels,Avg_viewer_ratio
2,League of Legends,6,2018,72491544,100822,1845,54.62
6,Hearthstone,6,2018,27629483,38427,239,160.56
8,Overwatch,6,2018,23127738,32166,1116,28.82
9,Counter-Strike: Global Offensive,6,2018,21897817,30455,834,36.48
12,World of Warcraft,6,2018,12006116,16698,700,23.83
20,StarCraft II,6,2018,4959153,6897,85,81
186,StarCraft,6,2018,281038,390,14,27.86
2,League of Legends,7,2018,75783584,101996,1834,55.58
6,Hearthstone,7,2018,27860407,37497,239,156.56
7,Counter-Strike: Global Offensive,7,2018,26762517,36019,930,38.73
8,Overwatch,7,2018,25211255,33931,1307,25.95
9,World of Warcraft,7,2018,22008322,29620,839,35.27
16,StarCraft II,7,2018,5384316,7246,89,80.94
97,StarCraft,7,2018,734250,988,15,62.89
2,League of Legends,8,2018,81349939,109488,1986,55.12
4,World of Warcraft,8,2018,56190633,75626,1916,39.46
6,Hearthstone,8,2018,37810708,50889,313,162.2
8,Overwatch,8,2018,23090495,31077,1323,23.48
9,Counter-Strike: Global Offensive,8,2018,21697899,29203,1023,28.54
20,StarCraft II,8,2018,5351963,7203,92,77.66
72,StarCraft,8,2018,1060633,1427,16,87.92
188,Dofus,8,2018,232985,313,14,22.2
189,World of Warcraft,8,2018,230598,310,87,3.53
2,League of Legends,9,2018,76553910,106472,2104,50.59
3,Counter-Strike: Global Offensive,9,2018,70564750,98142,979,100.24
4,World of Warcraft,9,2018,47191970,65635,1827,35.91
8,Hearthstone,9,2018,24201284,33659,218,154.24
9,Overwatch,9,2018,20588095,28634,1256,22.8
28,StarCraft II,9,2018,4494862,6251,89,70.02
107,StarCraft,9,2018,536720,746,16,46.55
169,Dofus,9,2018,289641,402,13,29.55
2,League of Legends,10,2018,109191567,146960,2197,66.88
6,World of Warcraft,10,2018,25504161,34325,1210,28.35
7,Counter-Strike: Global Offensive,10,2018,24204390,32576,969,33.62
9,Hearthstone,10,2018,22217280,29902,212,140.9
13,Overwatch,10,2018,16188422,21787,1140,19.1
26,StarCraft II,10,2018,4628888,6229,87,71.37
47,StarCraft,10,2018,1829828,2462,18,131.65
189,Dofus,10,2018,237542,319,13,23.8
2,League of Legends,11,2018,82622624,114913,2314,49.65
6,Counter-Strike: Global Offensive,11,2018,26556456,36935,986,37.43
7,Overwatch,11,2018,21844731,30382,1285,23.63
9,World of Warcraft,11,2018,19390576,26968,933,28.9
10,Hearthstone,11,2018,18915131,26307,203,129.42
25,StarCraft II,11,2018,6074722,8448,94,89.76
90,StarCraft,11,2018,874338,1216,18,67.49
185,Dofus,11,2018,248913,346,14,24.37
2,League of Legends,12,2018,72074851,97005,2372,40.89
5,Hearthstone,12,2018,31137256,41907,254,164.68
7,Counter-Strike: Global Offensive,12,2018,25568114,34411,1177,29.23
11,Overwatch,12,2018,16862203,22694,1304,17.4
14,World of Warcraft,12,2018,13715833,18460,779,23.68
34,StarCraft II,12,2018,3925456,5283,95,55.16
141,StarCraft,12,2018,471653,634,17,37.14
194,Dofus,12,2018,282833,380,14,25.81
2,League of Legends,1,2019,98976171,133211,3022,44.08
5,Counter-Strike: Global Offensive,1,2019,30778297,41424,1415,29.27
7,Hearthstone,1,2019,24477856,32944,232,141.7
8,Overwatch,1,2019,22499093,30281,1605,18.86
10,World of Warcraft,1,2019,18179362,24467,946,25.84
29,StarCraft II,1,2019,4703666,6330,99,63.57
